初中英语单词|devise|英[dɪ'vaɪz] 美[dɪ'vaɪz]|v. 设计，发明|he devised a new method for teaching the blind.|他设计出一种教导盲人的新方法。|初中英语单词
初中英语单词|warn|英[wɔːn] 美[wɔːrn]|vt. 警告；告诫；预先通知<br>vi. 发出警告|He warned me against going there at night.<br>The police warn us not to go out at night.<br>I warned them that there might be snakes in the woods.<br>If you can't arrive there on time, you should warn them.<br>Birds sometimes chatter to each other to warn of danger.|他警告我晚上不要到那去。<br>警察告诫我们夜间不要出门。<br>我提醒他们树林里可能有蛇。<br>如果你不能按时到达，应该预先通知他们。<br>鸟儿有时互相啁啾，通报危险。|初中英语单词
初中英语单词|appear|英[ə'pɪə(r)] 美[ə'pɪr]|vi. 出现；出版；显得；好像；登场|A ship appeared on the horizon.<br>His book appears on the market.<br>An article about him appeared in the paper.<br>She appeared very confident.<br>You appear unhappy.|船出现在水平线上。<br>他的书出版了。<br>一篇有关他的文章在报上发表。<br>她显得很自信。<br>你看起来好像不高兴。|初中英语单词
初中英语单词|able|英['eɪbl] 美['eɪbl]|adj. 能够的；有能力的；能干的|We shall be able to deal with all sorts of problem.<br>She bet me 20 that I wouldn't be able to give up smoking.<br>Free will makes us able to choose our way of life.<br>By no means was he able to handle it.<br>He is an able man.|我们应该能够应付各种困难。<br>她和我打 20 英镑的赌，说我戒不了烟。<br>自由的意志使我们可以选择自己的生活方式。<br>这件事他绝对没办法处理。<br>他是一个能人。|初中英语单词
初中英语单词|be able to||能，会|A good lawyer might be able to get you off.<br>You'll be able to come, won't you?<br>She bet me 20 that I wouldn't be able to give up smoking.<br>Will they be able to finish the work come the end of this year?<br>If we change places you will be able to see better from here.<br>It took him three months to be able to run a mile.<br>Unless you change your mind (=If you don't change you mind), I won't be able to help you.<br>Will you be able to glance over my report before I send it to the committee?|请位好律师有可能使你免受追究。<br>你能来的，对吗？<br>她和我打 20 英镑的赌，说我戒不了烟。<br>当今年年底来到时，他们能够完成这件工作吗？<br>假如我们换换位子的话，你从这儿会看得更清楚。<br>要能跑一英里需要他三个月。<br>除非你改变你的想法，否则我不能帮助你。<br>在我把这份报告送到委员会之前，你能粗略地看一下吗？|初中英语单词
初中英语单词|spirit|英['spɪrɪt] 美['spɪrɪt]|n. 精神；心灵；幽灵；精灵<br>v. 使精神振作；偷偷带走|He is endued with a spirit of public service.<br>We need a spirit of enterprise if we are to overcome our difficulties.<br>Now the rat of Panic was gnawing at Byron's spirit.<br>Music lifted up the listening spirit.<br>It will evaporate like a spirit.<br>They believe that his spirit lives on after death.|他富有为公众服务的精神。<br>如果我们要克服困难，我们就要有进取精神。<br>如今恐慌正象耗子一样在啃啮拜伦的心灵。<br>音乐净化升华了倾听它的心灵。<br>它将来总要像幽灵一样化成云烟。<br>他们相信他死后灵魂还活着。|初中英语单词
初中英语单词|print|英[prɪnt] 美[prɪnt]|v. 印刷；出版；打印；铭刻<br>n. 印刷字体；版画；印刷；印记；印刷物；印花<br>adj. 印刷的|How many copies shall we print from the negative?<br>His second book is already in print.<br>He founded his own press to print them.<br>This printer can print 40 pages in a minute.<br>During that time, the radiation diffused across short distance scales, smearing the fine print in the microwave background sky.<br>The print is too small for me to read without glasses.<br>The printmaking would lose direction if print artists have no skill interests in creation.<br>This boundary is like the outer circumference of the Escher print or the surface of the solid cylinder I considered earlier.<br>Her first novel is out of print now but you may find a second-hand copy.<br>The thief had left his prints on the handle.<br>He assures to us that we will get the blue print in time.<br>The sofa was adorned with a gay print slipcover.<br>He was standing in his print shirt and his waistcoat in front of his shop, which looked into the street.He saw Alpatitch, and went up to him.<br>Headlines are written in large print.<br>I closed up the space between the lines of print.|用这张底片我们要印多少张相片？<br>他的第二本书已出版。<br>他自己成立印刷厂出版这些书。<br>这台打印机一分钟能打印 40 页。<br>在这期间，辐射在短距离尺度上四处漫射，模糊了铭刻在微波背景天空上的细微印记。<br>印刷字体太小，我不带眼镜就看不清。<br>版画家脱离技术趣味进行创作时，版画创作就没有了方向感。<br>这个边界就类似艾雪版画的外缘或者前面提过的圆柱体的表面。<br>她的第一部小说现已绝版，不过你可以找本旧的。<br>小偷在把手上留下了指纹。<br>他向我们保证我们将及时得到蓝图。<br>沙发上罩了一个鲜艳的印花套子。<br>身穿背心和印花衬衫的费拉蓬托夫，站在面临大街的面粉店的傍边，他看见了阿尔帕特奇，便向他走过去。<br>标题是用大号字体印刷的。<br>我使印刷的行距靠紧些。|初中英语单词
初中英语单词|frighten|英['fraɪtn] 美['fraɪtn]|vt. 使惊吓；害怕<br>vi. 惊吓|It is illegal to frighten a pigeon.<br>They tried to frighten the public into obedience.<br>He frightened the old man into giving him all the money.<br>You frighten me, even though you're gentle with me.<br>The little baby was frightened by the fierce dog.|惊吓鸽子是违法的。<br>他们企图吓唬群众使他们屈服。<br>他恐吓那位老人把所有的钱都给了他。<br>你使我害怕，尽管你对我很温柔。<br>那个小孩被恶狗吓坏了。|初中英语单词
初中英语单词|safety|英['seɪfti] 美['seɪfti]|n. 安全；保险|The new car design incorporates all the latest safety features.<br>The safety of the ship is the captain's responsibility.<br>The management took all reasonable safety precautions.<br>It's very important to teach the children about road safety.<br>Put the money in the hotel safe for safety.|新的汽车设计具备最新安全措施的一切特点。<br>确保船只的安全是船长的责任。<br>管理部门采取了一切合理的安全措施。<br>把交通安全常识教给孩子们是非常重要的。<br>为保险起见，请把钱放到饭店的保险箱里。|初中英语单词
初中英语单词|invention|英[ɪn'venʃn] 美[ɪn'venʃn]|n. 发明；虚构；发明物|The invention of the computer marked the beginning of a new era.<br>Necessity is the mother of invention.<br>This story is apparently a complete invention.<br>The whole thing is an invention of a newspaper.<br>Your invention is very practical.<br>The machine is his own invention.|计算机的发明标志着一个新时代的开始。<br>需要是发明之母。<br>这个故事显然完全是虚构的。<br>整件事都是一家报纸虚构的。<br>你的发明物很实用。<br>这台机器是他自己的发明物。|初中英语单词
初中英语单词|frustrate|英[frʌ'streɪt] 美['frʌstreɪt]|vt. 挫败；击败；使沮丧；使灰心<br>adj. 无益的；挫败的；挫折的|This is the place that we frustrate enemy.<br>They made their preparations to frustrate the conspiracy.<br>The terrible weather frustrated our hopes of going out.<br>We have the confidence in frustrating our enemy.<br>She was frustrated by the lack of appreciation shown of her work.<br>He was frustrated by repeated failures.<br>The prisoner made a frustrate attempt to escape.|这是我们挫败敌人的地方。<br>他们作好准备挫败以这个阴谋。<br>恶劣的天气使我们外出的愿望无法实现。<br>我们有信心击败敌人。<br>她因工作得不到赏识而沮丧。<br>他因一再失败而灰心丧气。<br>囚犯妄图逃跑。|初中英语单词
初中英语单词|frustrated|英[frʌ'streɪtɪd] 美['frʌstreɪtɪd]|adj. 失意的；沮丧的；失败的|I'm feeling rather frustrated in my present job; I need a change.<br>They often feel frustrated at school, too.<br>Mary was frustrated by the lack of appreciation shown of her work.<br>Yet I was very frustrated and very lost.<br>We can infer from his expression that he is frustrated.<br>When I get frustrated and angry, I have to vent my spleen on someone.<br>Film directors are sometimes frustrated actors.|我感到现在干得很不顺心，需要换一换工作。<br>他们在学校同样经常感到失意。<br>玛丽因工作得不到赏识而灰心丧气。<br>但我还是非常沮丧和迷茫。<br>我们可以从他的表情中推断出他很沮丧。<br>我受尽挫折，怒火冲天时，禁不住想找谁发一顿脾气。<br>电影导演有时是不得志的演员。|初中英语单词
初中英语单词|wonder|英['wʌndə(r)] 美['wʌndər]|n. 惊奇；惊愕；奇迹；奇观<br>v. 惊奇；想知道；怀疑<br>adj. 奇妙的；非凡的|There was a look of wonder in his eyes.<br>They were filled with wonder at the new waterfall.<br>Colour television is realty a wonder.<br>It's a wonder that the child came through without a scratch.<br>I shouldn't wonder if he wins the prize.<br>Do you seriously wonder that she didn't help him?<br>I wonder if this picture can be restored.<br>I wonder whether you are interested in doing processing business with us.<br>I wonder if you have so much time to do so much work.<br>We have become explorers and scientists with our need to ask questions and to wonder.|他眼中露出惊奇的神色。<br>他们对新瀑布感到非常惊奇。<br>彩色电视真是一个奇迹。<br>这孩子竟能安然无恙地脱险，真是奇迹。<br>如果他获奖，我不会感到惊奇。<br>她没有帮助他，你感到特别惊奇吗？<br>我很想知道这幅画能否修复。<br>我想知道你们是否对与我们进行加工贸易感兴趣。<br>我怀疑你是否有那充多时间去做那多工作。<br>为了解答疑问和探索奇妙的自然，我们成为探险家和科学家。|初中英语单词
初中英语单词|merry|英['meri] 美['meri]|adj. 愉快的；欢乐的；<口>微醉的|There is a merry smile on her face.<br>He is in a very merry mood today.<br>Merry Christmas!<br>He ended his speech with a merry quip.<br>Merry songsters are singing carols.|她脸上露出愉快的微笑。<br>他今天心情极为愉快。<br>圣诞快乐！<br>他以十分风趣的话结束了演讲。<br>欢乐的歌手们正在唱颂歌。|初中英语单词
初中英语单词|decorate|英['dekəreɪt] 美['dekəreɪt]|v. 装饰；布置；装修；授予某人奖章或其他奖状|We decorated the house for Christmas.<br>My mother likes to decorate rooms.<br>I'll bring some balloons to decorate.<br>May I help you decorate the room?<br>It's necessary to decorate the classroom.<br>The house was empty and easy to decorate.|我们装饰房屋过圣诞节。<br>我妈妈非常喜欢装饰房间。<br>我要带些气球去装饰装饰。<br>我可以帮你装饰布置房间吗？<br>有必要装修这间教室。<br>房子是空的，装修起来很容易。|初中英语单词
初中英语单词|put up|英[pʊt ʌp] 美[pʊt ʌp]|vt. 放；贮备；推荐；提供，提出；建造；举起；提高；张贴，公布；配置，准备<br>vi. 提供食宿；直接行动|Tom put his lunch up in a bag.<br>The farmers put up the apples in barrels.<br>To join the club you have to be put up by an existing member.<br>We can put you up for the night.<br>They are putting up several new buildings in that block.<br>He put up his hand to ask a question.<br>My landlord's threatening to put the rent up by 10 a week.<br>The names of the successful candidates will be put up on the College notice board.<br>I'm afraid he can't put you up.|汤姆把午饭放进了一个包里。<br>农夫们把苹果装入箱内。<br>要加入俱乐部必须有一位会员做介绍人。<br>我们可以招待你过夜。<br>他们正在那一街区建几幢楼房。<br>他将手举起来发问问题。<br>我的房东要挟说要把每周租金提高 10 英镑。<br>录取名单将公布在学院布告栏里。<br>恐怕他不能为你提供食宿。|初中英语单词
初中英语单词|angel|英['eɪndʒl] 美['eɪndʒl]|n. 天使；天使般的人|A stunt man needs to have a good guardian angel.<br>No sin at all is the dream of the angel.<br>She is painting an angel with outspread wings.<br>She is lovely -- as much so as an angel.<br>Mary's three children are all angels not like mine.<br>She is a perfect angel.|当特技替身演员的得有个守护天使来保佑。<br>不犯错误，那是天使的梦想。<br>她正在画一个张开翅膀的天使。<br>她可爱得像个天使。<br>玛丽的三个孩子都像安琪儿一样可爱——跟我的孩子可不一样。<br>她非常可爱。|初中英语单词
初中英语单词|eve|英[iːv] 美[iːv]|n.（重大节日的）前夜；前夕<br>Eve.<br>n. 夏娃（圣经中的第一个女人）|What will they do on Christmas Eve?<br>The country was on the eve of the First Revolution.<br>We went to the church to celebrate Christmas Eve.<br>He gave up on the eve of success.<br>Father was cutting the grass, and meanwhile mother was planting roses.|他们在圣诞夜将做什么事？<br>当时全国处于第一次革命的前夜。<br>我们去教堂庆祝圣诞前夕。<br>他在大功告成之前放弃了。<br>父亲在剪草，母亲在种玫瑰。|初中英语单词
初中英语单词|as well|英[æz wel] 美[æz wel]|也；又|I write my own songs and I play the guitar as well.<br>You must deposit 500 as well as the first month's rent.<br>Often life is much slower outside the big cities, as is true in other countries as well.<br>You can have the piano for 60, and I'll throw in the stool as well.<br>He is eloquent and humorous as well. What he says never fails to please us.<br>The tournament is open to amateurs as well as professionals.<br>Nursing is a vocation as well as a profession.<br>The shop sells baubles as well.|我唱自己谱曲的歌，也弹吉他。<br>你必须付 500 英镑押金及第一个月的租赁费。<br>大都市外面的生活步调往往是缓慢得多，这在其他国家也是真的那样。<br>这架钢琴可以卖给你 60 英镑，琴凳我奉送。<br>他口才好又幽默，他所说的一定能使我们高兴。<br>这次比赛不仅职业运动员可以参加，而且业余运动员也可以参加。<br>护理工作既是职业又是救死扶伤的责任。<br>这家商店也销售廉价珠宝。|初中英语单词
初中英语单词|kind-hearted|英[kaɪnd 'hɑːtɪd] 美[kaɪnd 'hɑːtɪd]|adj. 仁慈的；好心肠的|The kind whisper went to my heart like a dagger.<br>Discuss the importance of being kind to animals.<br>The snake was saved by the old kind hearted man.<br>He is a very kind duck and always helps others.|这仁慈的低语象一把匕首直刺进我的心。<br>讨论对动物仁慈的重要性。<br>这位好心肠的老人救起了这条蛇。<br>他是只好心肠的鸭子，并且总是帮助别人。|初中英语单词
初中英语单词|chimney|英['tʃɪmni] 美['tʃɪmni]|n. 烟囱|The explosion toppled the old chimney.<br>The chimney is almost choked up with soot.<br>The smoke from chimney is spreading out in the sky.<br>I can hear a bird fluttering in the chimney.<br>The chimney exhales a thick smoke.|这次爆炸把那个旧烟囱给炸倒了。<br>烟囱几乎被烟垢堵住了。<br>烟囱冒出的烟正在空中散开。<br>我听见一只鸟在烟囱里扑扑地拍翅。<br>这个烟囱冒出一股浓烟。|初中英语单词
初中英语单词|single|英['sɪŋɡl] 美['sɪŋɡl]|adj. 单一的；单个的；特指某人或某物；单身的；单人的；单程的<br>n. 单程票；单曲；单人房间；单身者；<美>一元纸币；（网球）单打比赛；（板球）一分打；（棒球）一垒打<br>v. 挑选（一个）|The letter was written on a single sheet of paper.<br>I'd like to have a single room, preferably, facing south.<br>Every single child will receive a gift.<br>Freshwater is the single most precious element for life on earth.<br>He can't stay single for a long time.<br>A single room with a bath, if possible.<br>There are two second-class singles to Leeds.<br>His first single topped the charts for six weeks.<br>I'm sorry. Mr. Smith, your request arrived too late to reserve a single.<br>They organize parties for singles.<br>I'd like to break this ten dollar bill into ten singles.<br>The teacher was reluctant to single out individual students for praise or blame.|这封信只用一张纸写成。<br>我想要一个套间，最好是朝南的。<br>每一个孩子都会收到一份礼物<br>淡水对地球上的生命来说是最宝贵的一个要素。<br>他不会长时间保持单身的。<br>如果可能，要一间带浴室的单人房。<br>有两张到利兹的二等的单程票。<br>他的第一首单曲连续上榜六周并且名列前茅。<br>对不起，史密斯先生，您的订房要求来得太迟，单人房已经定完了。<br>他们为单身者组织聚会。<br>我要把这张 10 元钞票换成 10 张。<br>老师不愿挑出个别学生来给予表扬或者指责。|初中英语单词
初中英语单词|base on||以…（为）根据|To discuss this question, we must base it on conceptual analysis of rights.<br>In his practice, a lawyer must base himself on facts and take law as the criterion.<br>We were just going on what you yourself had said.|对这一问题的探讨，必须以权利之概念分析作为基础。<br>律师执业必须以事实为根据，以法律为准绳。<br>我们只是以你自己所说的为依据的。|初中英语单词
初中英语单词|shy|英[ʃaɪ] 美[ʃaɪ]|adj. 腼腆的；胆怯的；害羞的|He was too shy to talk to anyone at the party.<br>He only saw her sweet, shy face.<br>We must not fight shy of hard work.<br>The shy girl was afraid to contradict.|在晚会上他很腼腆，没有和任何人讲话。<br>他只注意到她的甜甜的、腼腆的脸。<br>我们不应回避艰苦的工作。<br>这个害羞的女孩不敢提出反驳意见。|初中英语单词
初中英语单词|though|英[ðəʊ] 美[ðoʊ]|conj. 虽然；尽管；然而；可是<br>adv.（用在句末补充说明使语气减弱）不过|Though we have tried our best, we lost the game.<br>I don't know him well though I've known him for a long time.<br>Though the task was difficult,they managed to accomplish it on time.<br>They will probably win, though no one thinks so.<br>He said he would come, he didn't, though.<br>Our team lost. It was a good game though.<br>I've a bit of headache. It's nothing much, though.|虽然我们已尽了最大的力量，但还是输了。<br>我对他并不了解，虽然我认识他已经很长时间了。<br>尽管任务困难，他们仍按时完成了。<br>他们可能会获胜，然而没有人这样认为。<br>他说他要来，可是并没有来。<br>我们队输了，可是这也不失为一场好球。<br>我有一点头痛，不过并不厉害。|初中英语单词
初中英语单词|relative|英['relətɪv] 美['relətɪv]|adj. 相对的；比较的；相关的<br>n. 亲戚；[语]关系词|Motion is absolute while stagnation is relative.<br>They are now living in relative comfort.<br>Relative to the size, the city is sparsely populated.<br>The teacher asked me some questions relative to my paper.<br>He showed such concern that people took him to be a relative.|运动是绝对的，而静止是相对的。<br>他们现在过着比较安逸的生活。<br>与其面积相比，这个城市的人口是稀少的。<br>老师问了我一些和我的论文有关的问题。<br>他很关心别人，因而大家都把他当作亲人。|初中英语单词
初中英语单词|greet|英[ɡriːt] 美[ɡriːt]|vt. 迎接；问候；致敬；作出反应|I greet you in the name of the President.<br>He greeted her with a loving hug.<br>They greet each other with a hug and say Merry Christmas!<br>Mick greeted her with a kiss on each cheek.<br>Tom gravely steps forward to greet us.<br>The audience greet his speech with loud cheer.|我代表总统前来迎接您。<br>他以一个深情的拥抱来迎接她。<br>他们互相拥抱，互相问候圣诞快乐！<br>米克亲吻她的双颊以表问候。<br>汤姆庄严地走过来，向我们致意。<br>听众对他的演讲报以高声欢呼。|初中英语单词
初中英语单词|once upon a time|英[wʌns ə'pɒn ə taɪm] 美[wʌns ə'pɑːn ə taɪm]|从前|Once upon a time there was a princess.<br>Once upon a time, there was an old man living in a small village.|从前有一个公主。<br>从前，在一个小村庄里住着一位老人。|初中英语单词
初中英语单词|at last|英[æt lɑːst] 美[æt læst]|终于；最后|The big moment has come at last!<br>Because of his irresolute character, we were defeated at last.<br>The ship went down and at last went out of sight.<br>He showed his sinister motive at last.<br>Your efforts will not come to no avail, if you can achieve something at last.<br>After much delay, he finished his paper at last.<br>The two sides come to reconciliation at last.<br>Only in 1687 did he at last publish his new theory.|重要的时刻终于到来了！<br>因为他性格的软弱，我们最终被打败了。<br>船在下沉，最后消失不见了。<br>他终于露出了他那邪恶的用心。<br>如果最后你能够有所成就，你的努力就不会白费。<br>拖了那么久，他终于完成了论文。<br>这两方最后讲和了。<br>终于在一六八七年他发表了他的新理论。|初中英语单词
初中英语单词|give birth to|英[ɡɪv bɜːθ tu] 美[ɡɪv bɜːrθ tu]|产生；生（孩子）；产（仔）；引起|On October17, at9:25A. I gave birth to a beautiful baby girl.<br>It is said that James Watt's observation of steam issuing from a kettle gave birth to the idea of the steam engine.<br>The birth of a baby is truly a blessed event.<br>He was born to an affluent family.<br>The ewe gave birth to only one lamb.<br>What do you call a cow that cannot give milk?<br>This book is open to misunderstanding.<br>The traffic accident led to a chain of events.|10 月 17 日上午 9 时 25 分，我生下一个漂亮的小女孩。<br>据说，詹姆斯・瓦特对水壶蒸气的观察使他产生了发明蒸汽机的想法。<br>生个孩子真是喜事。<br>他生在富裕人家。<br>这母羊只产了一个羊羔。<br>你是如何称呼一头无法产奶的奶牛的？<br>这本书容易引起误解。<br>交通事故引起了一连串的事件。|初中英语单词
初中英语单词|be made of||由…组成，由…构成|What's your shirt made of?|你的衬衣是用什么做的？|初中英语单词
初中英语单词|Frenchman|英['frentʃmən] 美['frentʃmən]|n. 法国人|The mastermind of the expedition was a Frenchman.|这次探险的策划者是一个法国人。|初中英语单词
初中英语单词|digital|英['dɪdʒɪtl] 美['dɪdʒɪtl]|adj. 数字的；数码的；手指的；计数的|Most of the computers we are using are digital computers.<br>This is my newly bought digital watch.<br>I just looked at the digital map.<br>Digital cameras can eat up a lot of power.<br>Today's laser digital disks have many advantages.<br>Based on rough counting of mechanic fetch pills, the system realized twice electronic minutia counting based on technique of digital image processing.|我们正在使用的计算机大多数是数字计算机。<br>这是我新买的数字手表。<br>我刚查看完数字地图。<br>数码相机是很费电的。<br>现在人们使用的激光数码唱片的优点太多了。<br>该系统在机械取丸粗计数的基础上，采用数字图像处理技术完成了两次细计数，保证了数丸的高精度。|初中英语单词
初中英语单词|found|英[faʊnd] 美[faʊnd]|v. 建立；创立；创办；熔铸；找到，发现（动词 find 的过去式和过去分词）|This business company was founded in 1724.<br>A good relationship has to be founded on trust.<br>They founded a college.<br>Our goal is to found a lovely school.|这家商业公司建立于 1724 年。<br>基于信任建立良好的关系。<br>他们创办了一所大学。<br>我们的目标创办一所可爱的学校。|初中英语单词
初中英语单词|so that|英[səʊ ðæt] 美[soʊʊ ðæt]|因此；以至于；以便|I study hard, so that I may not fail in the examinations.<br>We turned on the light so that we might see what it was.<br>Bring it closer so that I may see it better.<br>They put a screen around his bed so that the doctor could examine him.<br>The term and condition are printed in very small letter so that they are difficult to read.<br>She simplified the instructions so that the children could understand them.<br>Making something by hand has become the exception in many countries today -- so much so that giving a homemade gift is sometimes considered extraordinary.<br>We made a strategic withdrawal, so that we could build up our forces for a renewed attack.|我用功，免得考不及格。<br>我们把灯打开，以便看看它是什么。<br>把它拿近点儿，让我看看仔细。<br>他们在他床的四周放上屏风，以便医生给他检查。<br>条款与条件是用很小的字体印刷的，以致难以阅读。<br>她简化了指令以便于儿童理解。<br>当今用手做东西，在许多国家已经成为很特殊——如此地特殊，以致赠送自制礼物有时被认为是不寻常的。<br>我们作了一次战略性退却，以便我们能积蓄力量再次进攻。|初中英语单词
初中英语单词|prevent|英[prɪ'vent] 美[prɪ'vent]|v. 预防；防止，阻止；挡住|Scientists are trying to find ways to prevent disease.<br>It is the job of the police to prevent crime.<br>Nothing can prevent us from carrying out the plan.<br>Ways must be found to prevent the poisonous gases from polluting the air.|科学家们正试图找到预防疾病的方法。<br>防止犯罪是警察的职责。<br>什么也无法阻挡我们去实施这个计划。<br>一定要找到办法防止有毒气体污染空气。|初中英语单词
初中英语单词|northern|英['nɔːðən] 美['nɔːrðərn]|adj. 北部的；北方的；有北方特征的|That's a large city in northern Greece.<br>The people of northern Canada are called Inuit.<br>The United Kingdom consists of Great Britain and Northern Ireland.<br>She has travelled in northern countries.<br>The northern face of the mountain is almost vertical.<br>Do you prefer northern food or southern food?<br>The Northern men were hard to beat.|那是希腊北部的一个大城市。<br>加拿大北部的人称为因纽特人。<br>联合王国由大不列颠和北爱尔兰组成。<br>她曾游历过北方诸国。<br>这座山向北的一面几乎是垂直的。<br>你喜欢北方的食物还是南方的食物？<br>北方人是不容易被击败的。|初中英语单词
初中英语单词|blow|英[bləʊ] 美[bloʊ]|n. 打击；殴打；吹<br>v. 吹；风吹；擤（鼻子）；（保险丝）熔断；<口>浪费（机会）|The death of their daughter was a cruel blow.<br>I was dazed by the blow on my head.<br>Bill knocked him down with one blow.<br>Now, Peter, make a wish and blow out the candles.<br>It's blowing hard tonight.<br>It is bad manners to blow your nose at table.<br>A short circuit will blow the fuse.<br>If you put on the iron, the fuse will blow out.|女儿的死对他们是一个残酷的打击。<br>我的头挨了一击而觉得晕眩。<br>比尔一拳把他打倒在地。<br>彼得，现在你许个愿，然后吹蜡烛。<br>今晚风大得很。<br>吃饭时擤鼻子是不礼貌的行为。<br>短路会烧断保险丝的。<br>如果你插上电熨斗，则保险丝会断的。|初中英语单词
初中英语单词|far away||很远，遥远|I live far away from my school.<br>We can talk to those who live far away by telephone.<br>Christmas is a time for friends and family members to see each other again and to send Christmas cards to those who live far away.<br>Yeah, if it's not too far away.|我住的地方离学校很远。<br>我们可以用电话和住在远处的人说话。<br>圣诞节是朋友家人互相再见，以及寄圣诞卡给住在远方的人的一段时间。<br>如果不太远的话，那好。|初中英语单词
初中英语单词|notice|英['nəʊtɪs] 美['noʊtɪs]|vt. 注意；留心；通知<br>n. 通知；注意；布告|He walked so fast that he didn't notice his wife.<br>I notice you aren't quite convinced.<br>As soon as your application is approved, I will personally notice you.<br>Information maybe revised without prior notice.<br>Her appearance attracted my notice.<br>Meal times are shown on the notice board.<br>I posted a notice about it on the bulletin board.|他走得太快了，连他夫人都没注意到。<br>我感到你还不太相信。<br>核发登记证时我会通知您。<br>数据如有修改，恕不另行通知。<br>她的外表引起了我的注意。<br>告示牌上写有用餐时间。<br>我把有关那件事的通告贴在布告栏上。|初中英语单词
初中英语单词|connect|英[kə'nekt] 美[kə'nekt]|v. 连接；接通；联系|The plumber connected up all the pipes and turned on the tap.<br>These terminals are connected to our mainframe computer.<br>Has the phone been connected yet?<br>The police tried to connect him with the murder.<br>I was surprised to hear them mentioned together: I've never connected them before.|管子工连接上所有管子，然后打开了水龙头。<br>这些终端设备都和我们的计算机主机相连。<br>电话接通了吗？<br>警方试图将他与这起谋杀案联系起来。<br>听到有人把他们俩扯在一起，我感到很惊奇，我以前从未想到过他们之间有什么关系。|初中英语单词
初中英语单词|shut down|英[ʃʌt daʊn] 美[ʃʌt daʊn]|关闭； （使）停工|Some coal-mines had to shut down.<br>I was in harness at the factory for over twenty years before it shut down.<br>The plant shut down for the strike.|有些煤矿不得不关闭。<br>我在那家工厂关闭前在那儿工作了 20 多年了。<br>工厂因罢工而停工。|初中英语单词
初中英语单词|set one's mind to do||下定决心做某事|If you set your mind to achieve your goal, nothing can stop you.|如果你下定决心要实现你的目标，没有什么能阻挡你。|初中英语单词
初中英语单词|put off|英[pʊt ɒf] 美[pʊt ɔːf]|vt. 不安；延期；摆脱；欺诈|Never put off till tomorrow what you can do today.<br>Many people are put off by his surly behavior.<br>The game was put off because of rain.<br>Don't put off till tomorrow what can be done today.<br>She was put off maths by a bullying and incompetent teacher.<br>Please put off all smoking material.<br>He put off his departure till Saturday.|今日事今日毕。<br>他举止粗暴使许多人感到气愤。<br>比赛因雨延期。<br>今天可做的事不要拖到明天再做。<br>她对数学失去了兴趣，因为老师仗势欺人又没教学能力。<br>请熄掉所有冒烟的东西。<br>她推迟到星期六启程。|初中英语单词
初中英语单词|multiply…by…||乘以…|Multiply five by six to get thirty.|把五乘以六，得到三十。|初中英语单词
初中英语单词|challenge|英['tʃælɪndʒ] 美['tʃælɪndʒ]|n. 挑战；邀请比赛；盘问；质疑<br>v. 向……挑战；盘问；质疑|The crossing of this dangerous river was a challenge to most of us.<br>He accepted his friend's challenge to swim across the river.<br>We accepted their challenge to a baseball game.<br>He ignored the sentry's challenge to halt.<br>Their legal challenge was unsuccessful.<br>Nowadays no one will challenge the fact that the earth is round.<br>New competitors are emerging to challenge the old economic arrangements.<br>The sentry challenged the stranger at the gates.<br>I did not think he was right, so I challenged him.|对我们大多数人来说，横渡这条充满危险的大河确实是个挑战。<br>他接受朋友提出的挑战，游过这条河。<br>我们接受了他们棒球邀请的挑战。<br>他不理睬哨兵喝令止步的盘问。<br>他们的法律质疑未获成功。<br>现在没有人会对地球是圆的这一事实提出异议。<br>新的竞争对手正在崛起，向旧的经济布局挑战。<br>哨兵查问在门口的陌生人。<br>我认为他是不对的，因此向他提出质询。|初中英语单词
初中英语单词|at the beginning of||起初，开始|At the beginning of the speech the chairman cracked a joke.<br>At the beginning of each class, I count off the students.|在演讲开头主席开了一个玩笑。<br>每节课开始的时候我都先数一下学生人数。|初中英语单词
初中英语单词|beg one's pardon||请原谅；请你再说一遍|Pardon me for not writing to you sooner.<br>I beg pardon for my long silence.<br>I beg your pardon, please say it again.<br>Pardon,will you say that again?|请原谅我未能及早给你写信。<br>长久没有写信给你，请原谅。<br>对不起，请您再说一遍。<br>对不起，请你再说一遍。|初中英语单词
初中英语单词|discussion|英[dɪ'skʌʃn] 美[dɪ'skʌʃn]|n. 讨论；谈论|In their discussion, I was in favor of Mr. Li.<br>I was not privy to the discussion, so I cannot tell you what was decided.<br>The whole discussion pivots on this one point.<br>Their case is now under discussion.<br>He joined us in the discussion yesterday.<br>When will the matter come up for discussion?<br>Politics is a good topic for discussion.<br>A frank discussion can help to clear the air.<br>The others were diverted to a discussion of the more agreeable recent murders.|在他们的争论中，我支持李先生。<br>我并不了解讨论的情况，所以无法告诉你做了什么决定。<br>整个讨论内容均以此为中心。<br>他们的案件现在正在讨论中。<br>他昨天参加了我们的讨论。<br>这件事什么时候提出来讨论？<br>政治是谈论的好题目。<br>坦率的谈论有助于消除疑虑。<br>别人都换了话题，谈论更有趣的最近的几起谋杀案。|初中英语单词
